,elevation,latitude,longitude,network,station
0,908.0,34.55046,-117.43391,CI,ADO
1,809.0,33.63838,-116.4011,CI,AGA
2,259.0,34.14647,-118.76699,CI,AGO
3,640.0,35.06172,-116.62887,CI,ALV
4,959.0,35.34149,-116.87464,CI,APL
5,258.0,35.1269,-118.83009,CI,ARV
6,0.0,33.333118,-118.335424,CI,AVC
7,708.6,35.06562,-116.61549,CI,AVM
8,1035.0,34.77695,-118.77335,CI,BAI
9,116.0,35.34444,-119.10445,CI,BAK
10,529.0,32.68005,-116.67215,CI,BAR
11,2069.0,34.2623,-116.92075,CI,BBR
12,785.0,33.92139,-116.98058,CI,BBS
13,1137.0,33.65515,-115.45366,CI,BC3
14,391.0,33.57508,-117.26119,CI,BCC
15,1388.0,34.0006,-115.9982,CI,BEL
16,1312.0,34.23883,-117.65853,CI,BFS
17,275.0,35.2693,-116.0703,CI,BKR
18,1243.0,34.06948,-116.38896,CI,BLA
19,252.0,33.2682,-116.41716,CI,BOR
20,39.0,33.01213,-115.21987,CI,BTC
21,1702.0,34.68224,-118.57398,CI,BTP
22,110.0,34.612987,-120.196793,CI,BUE
23,230.0,34.13678,-118.12199,CI,CAC
24,276.0,34.1401,-118.62839,CI,CALB
25,285.0,33.38822,-117.19495,CI,CAP
26,765.0,35.30819,-119.84583,CI,CAR
27,355.0,32.9158,-116.25226,CI,CBK
28,8.0,34.399268,-119.515762,CI,CFD
29,312.0,34.10539,-117.28287,CI,CFS
30,682.0,34.03547,-117.11241,CI,CFT
31,1594.0,34.33341,-118.02585,CI,CHF
32,208.0,33.99879,-117.68044,CI,CHN
33,477.0,33.401898,-118.415021,CI,CIA
34,36.5,33.44577,-118.483,CI,CIU
35,775.0,35.81574,-117.59751,CI,CLC
36,-92.0,33.14029,-115.52658,CI,CLI
37,-60.2,33.12112,-115.58016,CI,CLI2
38,48.0,34.22038,-119.00891,CI,CLO
39,838.0,32.64266,-116.48514,CI,CPO
40,771.0,33.34183,-117.32502,CI,CPT2
41,18.1,33.873521,-118.039376,CI,CRF
42,66.0,32.88682,-115.96918,CI,CRR
43,1637.0,33.6442,-116.5956,CI,CSH
44,353.9,34.496513,-118.616208,CI,CSL
45,538.0,33.65516,-115.99006,CI,CTC
46,804.8,34.92217,-118.93913,CI,CVW
47,1595.0,36.43988,-118.08016,CI,CWC
48,428.0,34.63745,-115.38115,CI,DAN
49,519.0,34.25353,-118.33383,CI,DEC
50,337.0,33.93597,-116.57794,CI,DEV
51,650.0,33.65001,-117.00947,CI,DGR
52,268.0,34.10618,-118.45505,CI,DJJ
53,268.0,34.10618,-118.45505,CI,DJJB
54,14.0,33.84822,-118.09624,CI,DLA
55,463.0,32.99889,-116.94187,CI,DPP
56,-13.0,32.80532,-115.44679,CI,DRE
57,283.0,35.14255,-116.10395,CI,DSC
58,341.0,34.17141,-118.18523,CI,DSN5
59,341.0,34.17141,-118.18523,CI,DSN6
60,382.7,34.424157,-118.661913,CI,DTC
61,908.0,35.26742,-117.84581,CI,DTP
62,881.0,32.65915,-116.10061,CI,DVT
63,554.7,32.60657,-116.77477,CI,DZA
64,789.0,34.88303,-117.99106,CI,EDW
65,772.0,34.8811,-117.99388,CI,EDW2
66,161.0,32.89083,-116.84566,CI,EML
67,-56.0,33.11675,-115.82267,CI,ERR
68,-56.0,33.11652,-115.82273,CI,ERR
69,388.0,33.67388,-117.32643,CI,ESI
70,945.0,34.72832,-119.98803,CI,FIG
71,137.0,34.4092,-118.92121,CI,FMO
72,89.0,33.71264,-118.29381,CI,FMP
73,388.8,34.09957,-117.43876,CI,FON
74,719.7,34.7339,-118.24046,CI,FOX2
75,60.0,33.40209,-115.63835,CI,FRK
76,2443.0,34.77518,-118.96935,CI,FRM
77,51.0,33.8717,-117.92251,CI,FUL
78,-37.0,36.46703,-116.86322,CI,FUR
79,590.0,34.55266,-120.50235,CI,GATR
80,71.1,34.476604,-120.214358,CI,GFS
81,610.0,33.05149,-114.82706,CI,GLA
82,848.0,34.29148,-116.38256,CI,GMA
83,1326.0,34.78457,-115.65994,CI,GMR
84,138.0,33.1537,-117.22921,CI,GOR
85,587.0,34.22119,-118.18834,CI,GOU
86,705.0,35.6494,-117.6619,CI,GPO
87,689.0,36.99608,-117.36621,CI,GRA
88,234.0,34.13677,-118.1283,CI,GSA
89,1000.0,35.30177,-116.80574,CI,GSC
90,875.0,34.40074,-116.28736,CI,HDB
91,964.6,34.77529,-118.63999,CI,HDH
92,920.0,34.8294,-116.335,CI,HEC
93,193.0,34.17643,-118.35967,CI,HLL
94,593.0,33.708115,-117.001524,CI,HMT2
95,1160.0,34.45825,-117.84505,CI,HOL
96,879.0,32.66112,-116.09286,CI,IBP
97,469.0,33.79678,-116.22152,CI,IDO
98,906.0,32.65012,-116.10948,CI,IKP
99,-27.0,32.90147,-115.56071,CI,IMP
100,567.0,34.15738,-115.14513,CI,IRM
101,873.0,35.66278,-118.47403,CI,ISA
102,1264.0,33.0859,-116.5959,CI,JCS
103,1308.0,33.08098,-116.59755,CI,JEM
104,1469.0,35.98249,-117.80885,CI,JRC2
105,609.4,34.12644,-116.03785,CI,JTH
106,904.0,34.36622,-116.61266,CI,JVA
107,237.2,34.15037,-118.10156,CI,KIK
108,9.0,33.59738,-117.87909,CI,KML
109,1498.2,33.92545,-116.1734,CI,KYV
110,-16.3,33.798,-118.08837,CI,LBW1
111,1239.0,35.13066,-115.18416,CI,LDF
112,1121.0,34.9906,-118.34156,CI,LDR
113,368.0,34.30529,-118.48805,CI,LFP
114,416.0,34.10819,-119.06587,CI,LGU
115,1443.0,34.80762,-118.86775,CI,LJR
116,810.0,34.61594,-117.82493,CI,LKL
117,964.0,34.93439,-117.69629,CI,LMR2
118,1351.0,34.31478,-117.54642,CI,LPC
119,1340.0,35.47954,-117.68212,CI,LRL
120,11.8,34.17408,-119.15636,CI,LVY
121,886.4,32.70333,-116.7548,CI,LYP
122,69.2,34.263111,-119.095882,CI,MES
123,68.0,33.81841,-116.36874,CI,MGE
124,2162.0,37.63019,-118.83605,CI,MLAC
125,230.0,34.0046,-117.56162,CI,MLS
126,55.1,33.57304,-117.76258,CI,MMC
127,564.0,33.94738,-117.17278,CI,MNO
128,331.0,33.50388,-117.13993,CI,MOR
129,2673.0,34.81258,-119.1453,CI,MPI
130,1839.0,36.05799,-117.48901,CI,MPM
131,1739.0,34.88848,-119.81362,CI,MPP
132,1000.0,35.42522,-116.88957,CI,MRS
133,938.0,34.03852,-116.64795,CI,MSC
134,466.0,33.80801,-116.96789,CI,MSJ
135,785.0,33.42654,-117.37927,CI,MTA
136,1092.0,33.19915,-116.64727,CI,MTG
137,1540.5,34.2688,-118.2374,CI,MTL
138,1588.0,35.48434,-115.5532,CI,MTP
139,562.0,33.59999,-117.19543,CI,MUR
140,1725.0,34.22362,-118.05832,CI,MWC
141,590.0,34.78035,-116.55798,CI,NBS
142,1312.0,34.23883,-117.65853,CI,NCH
143,170.0,34.8249,-114.59941,CI,NEE
144,271.0,34.76759,-114.61881,CI,NEE2
145,859.0,34.77539,-118.50099,CI,NEN
146,1285.0,34.187906,-118.115167,CI,NGBR
147,219.0,34.53412,-120.17737,CI,NJQ
148,194.0,34.22869,-118.55829,CI,NOT
149,239.0,34.136773,-118.128333,CI,NQ088
150,-16.0,33.5561,-115.9465,CI,NSS
151,17.0,33.55553,-115.94586,CI,NSS2
152,95.8,33.733138,-117.751087,CI,NWH
153,832.0,34.36363,-118.78439,CI,OAK
154,1089.0,34.34361,-118.61442,CI,OAT
155,155.1,32.74755,-116.01931,CI,OCP
156,64.0,33.78816,-117.844,CI,OGC
157,124.0,34.39697,-119.29874,CI,OKV
158,162.0,33.94539,-117.92372,CI,OLI
159,159.0,32.60771,-116.93019,CI,OLP
160,718.0,34.6145,-118.7235,CI,OSI
161,552.0,33.38905,-117.03182,CI,PALA
162,314.0,34.14844,-118.17117,CI,PAS
163,257.0,34.14844,-118.17113,CI,PASA
164,341.0,34.17141,-118.18523,CI,PASC
165,328.0,34.44199,-118.58215,CI,PDE
166,144.0,34.30336,-114.14152,CI,PDM
167,45.0,33.96273,-118.43702,CI,PDR
168,445.0,34.1207,-117.63808,CI,PDU
169,166.0,33.92397,-117.61713,CI,PDW
170,777.0,34.16689,-117.87009,CI,PEM
171,468.0,33.86164,-117.20529,CI,PER
172,1288.0,33.61164,-116.45858,CI,PFO
173,0.0,33.4914,-117.0635,CI,PGA
174,355.0,35.40773,-120.54556,CI,PHL
175,1673.0,34.89556,-119.82084,CI,PKM
176,130.0,33.82436,-116.51195,CI,PLC
177,1050.0,34.96857,-119.06899,CI,PLE
178,1691.0,33.35361,-116.86265,CI,PLM
179,1199.0,33.7953,-117.60906,CI,PLS
180,296.0,33.64785,-116.37769,CI,PMD
181,1101.0,33.97738,-115.80161,CI,PNM
182,974.0,33.68699,-116.92402,CI,POB
183,999.0,33.68708,-116.92382,CI,POB2
184,144.0,33.82393,-116.55026,CI,PSD
185,305.0,34.09181,-117.80709,CI,PSR
186,7.0,34.00443,-118.80686,CI,PTD
187,747.0,34.69115,-117.96919,CI,PUT
188,398.9,34.187906,-118.115167,CI,Q0000
189,161.0,34.149406,-118.030375,CI,Q0001
190,76.3,34.072488,-118.399114,CI,Q0002
191,317.0,34.215874,-118.828572,CI,Q0003
192,92.0,32.733145,-117.133048,CI,Q0004
193,22.0,33.527951,-117.768082,CI,Q0005
194,233.0,33.133738,-117.110842,CI,Q0006
195,462.0,33.03653,-116.859271,CI,Q0007
196,227.0,33.384931,-117.24667,CI,Q0008
197,101.0,33.604579,-117.704768,CI,Q0009
198,42.0,33.445568,-117.63833,CI,Q0010
199,17.0,33.840247,-118.015366,CI,Q0011
200,331.0,33.459709,-117.098129,CI,Q0012
201,857.0,34.539514,-118.060347,CI,Q0013
202,342.0,34.277041,-118.396789,CI,Q0014
203,376.0,34.374681,-118.548834,CI,Q0015
204,321.0,33.843169,-117.564989,CI,Q0016
205,9.0,32.573037,-117.116803,CI,Q0017
206,4.0,33.696149,-117.952791,CI,Q0018
207,22.0,32.683732,-117.096512,CI,Q0019
208,852.0,33.960243,-116.953328,CI,Q0020
209,1.4,33.722904,-118.053735,CI,Q0021
210,358.0,33.770167,-117.501187,CI,Q0022
211,179.0,33.954833,-117.576062,CI,Q0023
212,1017.0,34.767662,-118.736685,CI,Q0024
213,1118.0,33.092083,-116.646993,CI,Q0025
214,381.0,33.643052,-117.569428,CI,Q0026
215,-3.0,32.766226,-115.621085,CI,Q0027
216,458.0,33.831306,-117.181463,CI,Q0028
217,96.0,33.726509,-117.747889,CI,Q0029
218,266.0,33.979794,-117.753906,CI,Q0030
219,134.7,34.395342,-118.911625,CI,Q0031
220,72.0,33.280678,-117.291139,CI,Q0032
221,501.0,34.09323,-118.866231,CI,Q0033
222,332.0,33.690211,-117.655247,CI,Q0034
223,871.0,34.46575,-118.204037,CI,Q0035
224,1014.0,34.458752,-117.382605,CI,Q0036
225,169.0,33.030233,-117.091311,CI,Q0037
226,425.0,33.730576,-117.427604,CI,Q0038
227,7.0,32.686927,-117.176117,CI,Q0039
228,502.0,33.532324,-117.00832,CI,Q0040
229,568.0,34.17204,-117.427615,CI,Q0041
230,172.0,33.925955,-117.658232,CI,Q0042
